#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,github-actions-enterprise-cicd,github-actions-enterprise-cicd,github-actions-enterprise-cicd,Solution name for resource naming,Yes,String,Valid string value,Public,DevOps Team,,CI/CD solution identifier,2025-12-03
solution.abbr,Project,ghacicd,ghacicd,ghacicd,Solution abbreviation (3-6 chars),Yes,String,3-8 lowercase,Public,DevOps Team,,Used in resource naming,2025-12-03
solution.version,Project,1.0.0,1.0.0,1.0.0,Current platform version,Yes,String,Semantic versioning,Public,DevOps Team,,Release version,2025-12-03
solution.provider_name,Project,github,github,github,Provider organization name,Yes,String,Valid string value,Public,DevOps Team,,GitHub provider,2025-12-03
solution.category_name,Project,devops,devops,devops,Solution category,Yes,String,Valid string value,Public,DevOps Team,,DevOps category,2025-12-03
ownership.cost_center,Project,CC-DEVOPS-001,CC-DEVOPS-001,CC-DEVOPS-001,Cost center for billing,Yes,String,CC format,Public,DevOps Team,,Billing allocation,2025-12-03
ownership.owner_email,Project,devops-team@company.com,dev-team@company.com,devops-team@company.com,Team email for ownership,Yes,String,Valid email,Confidential,DevOps Team,,Alert notifications,2025-12-03
ownership.project_code,Project,PRJ-GHACICD-2025,PRJ-GHACICD-2025,PRJ-GHACICD-2025,Project tracking code,Yes,String,PRJ format,Public,DevOps Team,,Tracking code,2025-12-03
github.enterprise_url,GitHub,https://github.com,https://github.com,https://github.com,GitHub Enterprise Cloud base URL,Yes,String,Valid HTTPS URL,Public,GitHub Admin,,Enterprise Cloud,2025-12-03
github.organization_name,GitHub,[organization-name],[organization-name],[organization-name],GitHub organization name,Yes,String,Valid GitHub org name,Confidential,GitHub Admin,,Primary organization,2025-12-03
github.enterprise_license,GitHub,[license-id],[license-id],[license-id],GitHub Enterprise Cloud license ID,Yes,String,Valid license ID,Secret,GitHub Admin,,100 users licensed,2025-12-03
github.actions_minutes,GitHub,50000,10000,50000,Included Actions minutes/month,Yes,Integer,1000-100000,Confidential,GitHub Admin,,Monthly allocation,2025-12-03
auth.api_token,Authentication,[github-pat-token],[github-pat-token],[github-pat-token],GitHub PAT for API access,Yes,String,ghp_* format,Secret,DevOps Team,,Rotate quarterly,2025-12-03
aws.account_id,AWS,[aws-prod-account-id],[aws-test-account-id],[aws-dr-account-id],AWS account ID for environment,Yes,String,12-digit AWS account,Confidential,Infrastructure Team,,Per-environment,2025-12-03
aws.region,AWS,us-east-1,us-east-1,us-west-2,Primary AWS region,Yes,String,Valid AWS region,Public,Infrastructure Team,,DR in different region,2025-12-03
runners.vpc_id,Runners,[vpc-prod-id],[vpc-test-id],[vpc-dr-id],VPC ID for self-hosted runners,Yes,String,vpc-* format,Confidential,Infrastructure Team,,Private subnets only,2025-12-03
runners.subnet_ids,Runners,"[subnet-prod-1,subnet-prod-2]","[subnet-test-1]","[subnet-dr-1,subnet-dr-2]",Subnet IDs for runner ASG,Yes,String,Comma-separated,Confidential,Infrastructure Team,,Multi-AZ for prod/dr,2025-12-03
runners.security_group_id,Runners,[sg-prod-id],[sg-test-id],[sg-dr-id],Security group ID for runners,Yes,String,sg-* format,Confidential,Infrastructure Team,,Outbound only,2025-12-03
runners.instance_type_linux,Runners,c5.2xlarge,t3.large,c5.2xlarge,EC2 instance type for Linux,Yes,String,Valid EC2 type,Public,Infrastructure Team,,Smaller for test,2025-12-03
runners.instance_type_windows,Runners,c5.2xlarge,t3.large,c5.2xlarge,EC2 instance type for Windows,Yes,String,Valid EC2 type,Public,Infrastructure Team,,Smaller for test,2025-12-03
runners.count_linux,Runners,16,2,4,Number of Linux runners,Yes,Integer,1-50,Public,Infrastructure Team,,Minimal for test/DR,2025-12-03
runners.count_windows,Runners,4,1,1,Number of Windows runners,Yes,Integer,1-20,Public,Infrastructure Team,,Minimal for test/DR,2025-12-03
runners.asg_min_linux,Runners,8,1,1,Minimum Linux runners in ASG,Yes,Integer,1-20,Public,Infrastructure Team,,Standby for DR,2025-12-03
runners.asg_max_linux,Runners,24,4,12,Maximum Linux runners in ASG,Yes,Integer,10-50,Public,Infrastructure Team,,Limited for test,2025-12-03
runners.asg_min_windows,Runners,2,0,0,Minimum Windows runners in ASG,Yes,Integer,0-10,Public,Infrastructure Team,,None for test/DR,2025-12-03
runners.asg_max_windows,Runners,6,2,4,Maximum Windows runners in ASG,Yes,Integer,2-20,Public,Infrastructure Team,,Limited for test/DR,2025-12-03
runners.scale_up_threshold,Runners,5,3,5,Queue depth to scale up,Yes,Integer,1-20,Public,Infrastructure Team,,Lower for test,2025-12-03
runners.scale_down_cooldown,Runners,900,600,900,Seconds before scale down,Yes,Integer,300-1800,Public,Infrastructure Team,,Faster for test,2025-12-03
