Cost Category,Description,Year 1 List,Provider/Partner Credit,Year 1 Net,Year 2,Year 3,3-Year Total,Credit Comments
Professional Services,Solution architecture & design (120 hours @ $200/hr),$24000,$5000,$19000,$0,$0,$19000,Partner Services Credit - architecture design and planning
Professional Services,Infrastructure deployment & configuration (100 hours @ $175/hr),$17500,$0,$17500,$0,$0,$17500,
Professional Services,Application development & integration (80 hours @ $175/hr),$14000,$0,$14000,$0,$0,$14000,
Professional Services,Testing & quality assurance (40 hours @ $150/hr),$6000,$0,$6000,$0,$0,$6000,
Professional Services,Training & documentation (20 hours @ $140/hr),$2800,$0,$2800,$0,$0,$2800,
Cloud Infrastructure,Virtual Machine Standard Tier - Web/App tier (2 instances 4vCPU 16GB each),$4968,$0,$4968,$4968,$4968,$14904,
Cloud Infrastructure,Virtual Machine High Performance - Database tier (1 instance 8vCPU 32GB),$3312,$0,$3312,$3312,$3312,$9936,
Cloud Infrastructure,Managed Database Service Standard Tier (100 capacity units),$2400,$720,$1680,$2400,$2400,$6480,Database service credit - 30% Year 1 consumption
Cloud Infrastructure,Managed Cache Service Standard (2.5GB capacity),$900,$270,$630,$900,$900,$2430,Cache service credit - 30% Year 1 consumption
Cloud Infrastructure,Load Balancer Standard Tier,$300,$0,$300,$300,$300,$900,
Cloud Infrastructure,Object Storage Standard Tier (500GB storage),$110,$0,$110,$110,$110,$330,
Cloud Infrastructure,CDN Service (100GB bandwidth/month),$97,$0,$97,$97,$97,$291,
Cloud Infrastructure,Monitoring & Logging Service (5GB data ingestion/month),$138,$0,$138,$138,$138,$414,
Software Licenses & Subscriptions,Productivity Suite Enterprise (25 user licenses),$3750,$0,$3750,$3750,$3750,$11250,No credits on third-party software
Software Licenses & Subscriptions,DevOps Platform Professional (5 developer seats),$360,$0,$360,$360,$360,$1080,
Software Licenses & Subscriptions,Source Control Enterprise (5 developer seats),$1260,$0,$1260,$1260,$1260,$3780,No credits on third-party software
Software Licenses & Subscriptions,APM & Monitoring Tool Professional (5 monitored hosts),$1380,$0,$1380,$1380,$1380,$4140,No credits on third-party software
Software Licenses & Subscriptions,Identity & Access Management Platform (1000 monthly active users),$840,$0,$840,$840,$840,$2520,No credits on third-party software
Software Licenses & Subscriptions,Email Delivery Service Professional (50K emails/month),$60,$0,$60,$60,$60,$180,No credits on third-party software
Support & Maintenance,Cloud provider infrastructure support (monitoring & alerting),$0,$0,$0,$0,$0,$0,Included with cloud services
Support & Maintenance,Third-party software support (included in licenses),$0,$0,$0,$0,$0,$0,Included with software subscriptions
Total Investment,,$84175,$5990,$78185,$19875,$19875,$117935,Year 1 credits reduce net investment by 7%
