Category,Question,Answer,Priority,Notes
Current Infrastructure,How many branch offices need connectivity?,10 sites,High,Includes regional and remote locations
Current Infrastructure,What is current WAN architecture?,Hybrid MPLS and Internet,High,Mixed connectivity models
Current Infrastructure,Current annual WAN costs?,~$180K/year,High,Including MPLS circuits and maintenance
Azure Presence,How many Azure regions needed?,2 (US + EU),High,Support global operations
Azure Presence,Existing Azure VNets?,3 VNets,Medium,5-10 VMs per VNet
Data Center Connectivity,Data center locations?,2 major DCs,High,On-premises legacy systems
Data Center Connectivity,ExpressRoute available?,Yes,High,2 circuits planned
Performance Requirements,Required latency?,<100ms intra-region,Medium,User experience sensitive
Performance Requirements,Bandwidth requirements?,Varies 10-50 Mbps per site,Medium,Peak usage patterns
Security Requirements,Compliance needs?,HIPAA/PCI-DSS,High,Regulated data handling
Security Requirements,Current DLP/threat defense?,Limited,Medium,Need centralized firewall
Security Requirements,Encryption requirements?,All traffic encrypted,High,Data in transit protection
Routing,East-West traffic pattern?,50% branch-to-branch,High,Peer-to-peer connectivity
Routing,Hub-spoke preferred?,Yes,High,Centralized management
Traffic Engineering,Traffic volume?,500 GB/month average,Medium,Peak 2TB/month
Migration,Cutover window?,Weekend only,High,Business continuity critical
Migration,Rollback plan needed?,Yes - 48 hour failover,High,Risk mitigation
Budget,Total budget?,~$130K Year 1,High,Includes professional services
Support,24/7 monitoring needed?,Yes,High,SLA: 99.5% uptime
